Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2019,1,Salta,9,136012,0.0
2019,2,Salta,10,142650,11.11
2019,3,Salta,10,151938,0.0
2019,4,Salta,12,172445,20.0
2018,1,Salta,9,134001,0.0
2018,2,Salta,9,135006,0.0
2018,3,Salta,9,133722,0.0
2018,4,Salta,9,134578,0.0
2017,1,Salta,7,107643,0.0
2017,2,Salta,7,108551,0.0
2017,3,Salta,9,133400,28.57
2017,4,Salta,9,133648,0.0
2016,1,Salta,7,102071,0.0
2016,2,Salta,7,109235,0.0
2016,3,Salta,7,107818,0.0
2016,4,Salta,7,106947,0.0
2015,1,Salta,7,96810,0.0
2015,2,Salta,7,98269,0.0
2015,3,Salta,7,100589,0.0
2015,4,Salta,7,101936,0.0
2014,1,Salta,6,91297,0.0
2014,2,Salta,7,91992,16.67
2014,3,Salta,7,92941,0.0
2014,4,Salta,7,93967,0.0
2023,1,Río Negro,21,164331,0.0
2023,2,Río Negro,21,163379,0.0
2023,3,Río Negro,21,163485,0.0
2022,1,Río Negro,20,157374,0.0
