Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
SANTA FE,San Javier,Alejandra,82098010,0,0,0,0,0,1,0,453,454,-59.8281612200693,-29.9103566747475
SANTA FE,San Javier,Cacique Ariacaiquín,82098020,0,0,0,0,0,0,0,56,56,-60.2307356488107,-30.6581364074941
SANTA FE,San Javier,Colonia Durán,82098030,0,0,0,0,0,1,0,0,1,-59.9270693537131,-29.5607537201086
SANTA FE,San Javier,Romang,82098050,0,801,0,2,195,0,0,369,1367,-59.7485934535059,-29.5018294527814
SANTA FE,San Javier,San Javier,82098060,0,826,0,96,0,0,0,194,1116,-59.9313985183809,-30.5822068409869
SANTA FE,San Javier,La Brava,82098040,0,0,0,0,0,0,0,20,20,-60.1409356882605,-30.4477825105448
SANTA FE,San Jerónimo,Arocena,82105010,0,202,0,0,400,0,0,0,602,-60.9770049639573,-32.0800271942926
SANTA FE,San Jerónimo,Barrancas,82105030,1406,0,0,0,0,0,0,0,1406,-60.9827401330363,-32.2366357816462
SANTA FE,San Jerónimo,Barrio Caima,82105040,0,0,0,0,0,0,0,21,21,-60.8719647067245,-31.8320800807618
SANTA FE,San Jerónimo,Bernardo de Irigoyen (Est. Irigoyen),82105060,0,0,0,262,0,0,0,0,262,-61.1572748282837,-32.1709306189148
SANTA FE,San Jerónimo,Centeno,82105080,810,0,0,94,0,0,0,0,904,-61.4107241466286,-32.298023717348
SANTA FE,San Jerónimo,Coronda,82105090,464,0,0,3444,215,0,0,684,4807,-60.9201341188126,-31.975646712145
SANTA FE,San Jerónimo,Desvío Arijón,82105100,133,0,0,0,0,0,0,43,176,-60.8896993521491,-31.8727393656094
SANTA FE,San Jerónimo,Díaz,82105110,256,0,0,258,0,0,0,0,514,-61.091442512126,-32.3750588242506
SANTA FE,San Jerónimo,Gaboto,82105120,0,0,0,0,201,0,0,240,441,-60.8185390941723,-32.4343760818819
SANTA FE,San Jerónimo,Gálvez,82105130,3316,0,0,4304,59,0,0,20,7699,-61.2199610274248,-32.0326455920318
SANTA FE,San Jerónimo,Gessler,82105140,107,0,0,105,0,0,0,46,258,-61.1288367653984,-31.8770449531764
SANTA FE,San Jerónimo,Irigoyen,82105150,0,99,0,0,0,0,0,246,345,-61.1104258428642,-32.16077341012
SANTA FE,San Jerónimo,Larrechea,82105160,0,0,0,0,0,0,0,26,26,-61.0477166860408,-31.9361305275575
SANTA FE,San Jerónimo,Loma Alta,82105170,16,0,0,31,0,0,0,0,47,-61.1783800456556,-31.9614431890621
